gambar,kota,lokasi,nama_wisata,deskripsi,rating,ulasan,harga_asli,harga_diskon,cluster,label
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000914218743/Tiket-Pertunjukan-Tari-Kecak-dan-Tari-Api-di-Pura-Uluwatu-2a9ebdad-1f2f-4eac-aee5-8ce4f8370083.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Pecatu, Badung Regency",Kecak and Fire Dance Performance at Uluwatu Temple Tickets,"Nikmati pengalaman budaya yang memukau melalui pertunjukan Kecak dan Tari Api di Pura Uluwatu, Bali, yang berlatar keindahan matahari terbenam di tepi tebing. Dengan alunan chant “cak” yang ritmis dari puluhan penari pria serta aksi teatrikal yang membawakan kisah epik Ramayana, pertunjukan ini memadukan seni, tradisi, dan keindahan alam dalam satu malam yang tak terlupakan. Pesan tiket sesi 1 (18.00–19.00) untuk mendapatkan pemandangan sunset terbaik dan hindari antre panjang dengan pembelian online.",9.5,3674 reviews,150000,135000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000996301220/Garuda-Wisnu-Kencana-%2528GWK%2529-Cultural-Park-Tickets-5d8148d9-c09b-45b1-b378-051078e722e0.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Ungasan, Badung Regency",Garuda Wisnu Kencana (GWK) Cultural Park Tickets,"Rasakan pengalaman budaya Bali yang lengkap di Garuda Wisnu Kencana (GWK) Cultural Park, tempat berdirinya patung Garuda Wisnu setinggi 121 meter yang ikonik. Di sini, Anda dapat menyaksikan lebih dari 15 pertunjukan seni, termasuk satu-satunya kombinasi unik Tari Kecak dan Ogoh-Ogoh di Bali, serta menikmati suasana imersif di ASANA Artseum yang cocok untuk foto-foto keren. Jangan lewatkan juga bioskop mini Garuda Sineloka yang menyuguhkan film pendek bertema budaya Bali yang ramah keluarga. Untuk pengalaman lebih autentik, Anda bisa berfoto mengenakan pakaian adat Bali yang lengkap!",9.0,71.1K reviews,100000,79200,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2000068312783/Bali-Zoo-Tickets-0db84bef-d560-41e0-975d-0919b52fa6c3.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Ubud, Gianyar",Bali Zoo Tickets,"Nikmati petualangan seru menyatu dengan alam di Bali Zoo, rumah bagi lebih dari 500 hewan eksotis dari seluruh dunia di tengah hijau subur kawasan Singapadu. Bertemu langsung dengan singa Afrika, orangutan yang menggemaskan, hingga lemur yang lincah, menjadikan kunjungan ini cocok untuk seluruh keluarga. Saksikan momen seru seperti sesi pemberian makan, pertunjukan burung eksotis, dan jangan lewatkan keseruan bermain air di Jungle Splash Waterplay—semuanya termasuk dalam tiket Anda! Ingin pengalaman yang berbeda? Coba Night at the Zoo, di mana Anda bisa melihat kehidupan malam hewan-hewan yang aktif setelah matahari terbenam.",9.0,5073 reviews,140000,112000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2001168359075/Taman-Air-Spa-Kuta-ea1e32a5-26e6-4cd1-836a-4f925e7fc4b6.png?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Sunset Road Bali, Kuta",Taman Air Spa Kuta,"Lepaskan penat dan manjakan diri Anda di Taman Air Spa, salah satu spa terbaik di Bali yang menawarkan suasana tenang, interior mewah, dan pelayanan profesional. Nikmati berbagai pilihan perawatan mulai dari pijat tradisional Bali, Whitening Vitamin C Massage, hingga Ultimate Body Massage yang dilakukan oleh terapis berpengalaman. Rasakan sensasi rileks dan segar kembali, baik saat datang sendiri maupun bersama orang tercinta—pengalaman spa yang menyegarkan ini akan memulihkan energi tubuh dan pikiran Anda sepenuhnya.",9.7,2636 reviews,280000,200000,3,Spa dan Perawatan
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/6750430808597/Bali-Farm-House-Tickets-530a32e6-6bec-47d5-af30-52ab8f99ba63.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Bedugul, Tabanan",Bali Farm House Tickets,"Rasakan keseruan tak terlupakan di pengalaman alpaka pertama di Bali, tempat sempurna untuk bersantai dan kembali terhubung dengan alam. Temui berbagai hewan menggemaskan seperti burung unta, kelinci, kambing, dan poni yang siap menyambut Anda dengan ramah. Abadikan momen seru Anda dengan latar pemandangan indah ala Swiss dan arsitektur bergaya Tuscan yang Instagramable. Setelah puas bermain, nikmati hidangan lezat di tengah suasana pedesaan yang hangat dan menenangkan—sebuah kombinasi sempurna antara wisata alam dan kuliner dalam satu hari penuh kebahagiaan.",9.4,344 reviews,125000,106250,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/3615778856882/Melasti-Beach-Kecak-Dance-Show-51f018db-8bf4-4ba1-902d-6bba0e989e68.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Ungasan, Badung Regency",Melasti Beach Kecak Dance Show Tickets,"Nikmati momen magis di Melasti Beach dengan pertunjukan Tari Kecak berlatar matahari terbenam yang menakjubkan! Selama 60 menit, Anda akan dibawa menyelami warisan budaya Bali lewat lantunan “cak… cak… cak” yang menggema, dipadukan dengan gerakan para penari pria yang memukau dalam ritual Sanghyang yang sakral. Tersedia setiap hari, Anda bebas memilih tanggal yang sesuai untuk menyaksikan pertunjukan budaya paling ikonik di Pulau Dewata ini. Rasakan perpaduan spiritualitas, seni, dan keindahan alam dalam satu pengalaman yang tak terlupakan.",9.6,464 reviews,150000,125000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2001807961267/Tiket-Waterbom-Bali-11a65b0e-8515-47ff-9aeb-2b04128f67c8.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Kuta, Kuta",Waterbom Bali Tickets,"Rasakan serunya bermain air sepuasnya di Waterbom Bali, taman air terbaik se-Asia yang menawarkan 26 wahana kelas dunia! Mulai dari tantangan ekstrem seperti Smashdown 2.0 dan Twin Racers, hingga area santai seperti Lazy River atau gazebo pribadi yang tenang, semua bisa Anda nikmati dalam suasana tropis khas Bali. Anak-anak pun bisa bermain seru di zona Funtastic, sementara Anda bersantai dengan koktail tropis dan menikmati hidangan lezat khas Bali. Cocok untuk liburan keluarga maupun pencari adrenalin—Waterbom Bali adalah kombinasi sempurna antara petualangan dan relaksasi!",9.5,1955 reviews,365000,312075,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/2001710045803/Reborn-Signature-Wellness-Spa-Dewi-Sri-Bali-abee7e76-050a-4ad8-8879-e24f51a26aa4.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Legian, Kuta",Reborn Signature Wellness Spa Dewi Sri Bali,"Segarkan tubuh dan pikiran Anda di Reborn Signature Wellness Spa Dewi Sri Bali, tempat terbaik untuk menikmati berbagai perawatan pijat berkualitas selama liburan. Dengan bantuan terapis profesional, Anda bisa memilih jenis pijat yang sesuai untuk meredakan otot-otot yang tegang setelah perjalanan panjang. Ditemani suasana yang tenang dan minuman sehat seperti teh jahe atau jus, pengalaman spa Anda akan terasa semakin menyenangkan. Lakukan reservasi terlebih dahulu agar bisa menikmati perawatan di hari yang sama dan buat liburan Anda makin relaks dan memuaskan!",9.3,1648 reviews,168000,126990,3,Spa dan Perawatan
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/3101381679594/Atlas-Beach-Club-d8d852b7-7cb1-4a0e-9bed-8b2abfb80a43.png?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Canggu, Badung Regency",Atlas Beach Club,"Nikmati liburan penuh kemewahan di Atlas Beach Club Bali, salah satu beach club terbesar dan paling hits di pulau Dewata! Rasakan serunya berenang di kolam tepi pantai terpanjang se-Asia Tenggara sambil menikmati pemandangan laut yang menakjubkan, sempurna untuk mengabadikan momen di media sosial. Tersedia berbagai pilihan daybed eksklusif, termasuk VIP dan VVIP Sofa dengan layanan butler pribadi serta kredit F&B hingga Rp16.000.000! Lengkapi pengalamanmu dengan hidangan lezat dan suasana tropis yang tak tertandingi—liburan ke Bali belum lengkap tanpa mampir ke sini!",9.5,661 reviews,150000,105000,4,Layanan Wisata
"https://ik.imagekit.io/tvlk/xpe-asset/AyJ40ZAo1DOyPyKLZ9c3RGQHTP2oT4ZXW+QmPVVkFQiXFSv42UaHGzSmaSzQ8DO5QIbWPZuF+VkYVRk6gh-Vg4ECbfuQRQ4pHjWJ5Rmbtkk=/8122113313137/Bali-Nusa-Penida-Private-Tour-503900ee-bd33-49e2-9b3d-fc75d6fbfd84.jpeg?_src=imagekit&tr=c-at_max,h-200,q-60,w-540",Bali,"Nusa Penida, Klungkung",Bali Nusa Penida Private Tour - 11 Hours,"Nikmati pengalaman tak terlupakan di Nusa Penida, pulau tersembunyi di Bali yang menawarkan keindahan alam yang memukau. Dengan durasi tur 11 jam, Anda akan diajak menjelajahi berbagai destinasi ikonik seperti Pantai Kelingking dengan tebing berbentuk seperti leher T-Rex, Broken Beach dan Angel's Billabong yang memiliki formasi batuan unik serta kolam alami yang jernih, serta Pantai Diamond dengan pasir putih dan tebing yang menakjubkan. Jangan lewatkan juga Rumah Pohon Molenteng untuk menikmati pemandangan laut dari ketinggian dan Thousand Islands Viewpoint yang menawarkan pemandangan pulau-pulau kecil di laut lepas. Jika Anda menyukai petualangan bawah laut, Anda bisa menyelam di Crystal Bay atau Manta Bay untuk bertemu dengan ikan manta yang anggun. Paket tur ini mencakup tiket fast boat pulang-pergi dari Sanur ke Nusa Penida, mobil ber-AC untuk keliling pulau, makan siang, dan pemandu lokal yang siap membantu Anda menikmati setiap momen. Nusa Penida adalah tempat sempurna untuk melarikan diri dari keramaian dan menikmati keindahan alam Bali yang asli dan menenangkan.",9.7,200 reviews,375000,330650,2,Wisata Pantai
